"","project_id"
"305","Primary solid Tumor"
"306","Primary solid Tumor"
"307","Primary solid Tumor"
"308","Primary solid Tumor"
"309","Primary solid Tumor"
"310","Primary solid Tumor"
"311","Primary solid Tumor"
"312","Primary solid Tumor"
"313","Primary solid Tumor"
"314","Primary solid Tumor"
"315","Primary solid Tumor"
"316","Primary solid Tumor"
"317","Primary solid Tumor"
"318","Primary solid Tumor"
"319","Primary solid Tumor"
"320","Solid Tissue Normal"
"321","Primary solid Tumor"
"322","Primary solid Tumor"
"323","Primary solid Tumor"
"324","Solid Tissue Normal"
"325","Primary solid Tumor"
"326","Primary solid Tumor"
"327","Solid Tissue Normal"
"328","Primary solid Tumor"
"329","Primary solid Tumor"
"330","Primary solid Tumor"
"331","Primary solid Tumor"
"332","Primary solid Tumor"
"333","Solid Tissue Normal"
"334","Primary solid Tumor"
"335","Primary solid Tumor"
"336","Primary solid Tumor"
"337","Primary solid Tumor"
"338","Solid Tissue Normal"
"339","Primary solid Tumor"
"340","Primary solid Tumor"
"341","Primary solid Tumor"
"342","Primary solid Tumor"
"343","Primary solid Tumor"
"344","Primary solid Tumor"
"345","Primary solid Tumor"
"346","Primary solid Tumor"
"347","Solid Tissue Normal"
"348","Solid Tissue Normal"
"349","Primary solid Tumor"
"350","Primary solid Tumor"
"351","Primary solid Tumor"
"352","Primary solid Tumor"
"353","Solid Tissue Normal"
"354","Primary solid Tumor"
"355","Primary solid Tumor"
"356","Primary solid Tumor"
"357","Primary solid Tumor"
"358","Primary solid Tumor"
"359","Primary solid Tumor"
"360","Primary solid Tumor"
"361","Primary solid Tumor"
"362","Primary solid Tumor"
"363","Primary solid Tumor"
"364","Primary solid Tumor"
"365","Primary solid Tumor"
"366","Primary solid Tumor"
"367","Primary solid Tumor"
"368","Primary solid Tumor"
"369","Primary solid Tumor"
"370","Primary solid Tumor"
"371","Primary solid Tumor"
"372","Primary solid Tumor"
"373","Primary solid Tumor"
"374","Primary solid Tumor"
"375","Solid Tissue Normal"
"376","Primary solid Tumor"
"377","Primary solid Tumor"
"378","Primary solid Tumor"
"379","Primary solid Tumor"
"380","Primary solid Tumor"
"381","Primary solid Tumor"
"382","Solid Tissue Normal"
"383","Primary solid Tumor"
"384","Primary solid Tumor"
"385","Primary solid Tumor"
"386","Primary solid Tumor"
"387","Primary solid Tumor"
"388","Primary solid Tumor"
"389","Primary solid Tumor"
"390","Solid Tissue Normal"
"391","Primary solid Tumor"
"392","Primary solid Tumor"
"393","Primary solid Tumor"
"394","Primary solid Tumor"
"395","Primary solid Tumor"
"396","Primary solid Tumor"
"397","Solid Tissue Normal"
"398","Primary solid Tumor"
"399","Primary solid Tumor"
"400","Primary solid Tumor"
"401","Primary solid Tumor"
"402","Primary solid Tumor"
"403","Primary solid Tumor"
"404","Primary solid Tumor"
"405","Primary solid Tumor"
"406","Primary solid Tumor"
"407","Primary solid Tumor"
"408","Primary solid Tumor"
"409","Primary solid Tumor"
"410","Primary solid Tumor"
"411","Primary solid Tumor"
"412","Primary solid Tumor"
"413","Primary solid Tumor"
"414","Primary solid Tumor"
"415","Primary solid Tumor"
"416","Primary solid Tumor"
"417","Primary solid Tumor"
"418","Solid Tissue Normal"
"419","Primary solid Tumor"
"420","Primary solid Tumor"
"421","Solid Tissue Normal"
